央视频道,#genre#
CCTV1,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV1
CCTV1,http://119.91.7.169:2026/tv/mg1.php?id=CCTV1
CCTV2,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV2
CCTV2,http://119.91.7.169:2026/tv/mg1.php?id=CCTV2
CCTV3,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV3
CCTV3,http://119.91.7.169:2026/tv/mg1.php?id=CCTV3
CCTV4,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV4
CCTV4,http://119.91.7.169:2026/tv/mg1.php?id=CCTV4
CCTV5,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV5
CCTV5,http://119.91.7.169:2026/tv/mg1.php?id=CCTV5
CCTV5+,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV5p
CCTV5+,http://119.91.7.169:2026/tv/mg1.php?id=CCTV5p
CCTV6,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV6
CCTV6,http://119.91.7.169:2026/tv/mg1.php?id=CCTV6
CCTV7,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV7
CCTV7,http://119.91.7.169:2026/tv/mg1.php?id=CCTV7
CCTV8,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV8
CCTV8,http://119.91.7.169:2026/tv/mg1.php?id=CCTV8
CCTV9,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV9
CCTV9,http://119.91.7.169:2026/tv/mg1.php?id=CCTV9
CCTV10,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV10
CCTV10,http://119.91.7.169:2026/tv/mg1.php?id=CCTV10
CCTV11,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV11
CCTV11,http://119.91.7.169:2026/tv/mg1.php?id=CCTV11
CCTV12,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV12
CCTV12,http://119.91.7.169:2026/tv/mg1.php?id=CCTV12
CCTV13,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV13
CCTV13,http://119.91.7.169:2026/tv/mg1.php?id=CCTV13
CCTV14,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV14
CCTV14,http://119.91.7.169:2026/tv/mg1.php?id=CCTV14
CCTV15,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV15
CCTV15,http://119.91.7.169:2026/tv/mg1.php?id=CCTV15
CCTV16,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV16
CCTV16,http://119.91.7.169:2026/tv/mg1.php?id=CCTV16
CCTV17,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV17
CCTV17,http://119.91.7.169:2026/tv/mg1.php?id=CCTV17
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
CCTV-1综合,http://xncs.56312315.top/proxy/cibn/yf.php?id=20000&token=68eac3f600674f68
CCTV-2财经,http://xncs.56312315.top/proxy/cibn/yf.php?id=20001&token=68eac3f600674f68
CCTV-3综艺,http://xncs.56312315.top/proxy/cibn/yf.php?id=20002&token=68eac3f600674f68
CCTV-4中文国际,http://xncs.56312315.top/proxy/cibn/yf.php?id=20003&token=68eac3f600674f68
CCTV-5体育,http://xncs.56312315.top/proxy/cibn/yf.php?id=20004&token=68eac3f600674f68
CCTV-5+体育赛事,http://xncs.56312315.top/proxy/cibn/yf.php?id=20005&token=68eac3f600674f68
CCTV-6电影,http://xncs.56312315.top/proxy/cibn/yf.php?id=1808&token=68eac3f600674f68
CCTV-7国防军事,http://xncs.56312315.top/proxy/cibn/yf.php?id=20007&token=68eac3f600674f68
CCTV-8电视剧,http://xncs.56312315.top/proxy/cibn/yf.php?id=20008&token=68eac3f600674f68
CCTV-9纪录,http://xncs.56312315.top/proxy/cibn/yf.php?id=20009&token=68eac3f600674f68
CCTV-10科教,http://xncs.56312315.top/proxy/cibn/yf.php?id=20010&token=68eac3f600674f68
