#重庆移动易视腾 第三方代理 订阅 https://live.404003.xyz/txt/重庆移动代理.txt
央视,#genre#
CCTV-1,http://hnyst.130519.xyz/000000001666/100000000100111211/1.m3u8?IASHttpSessionId=OTT
CCTV-1,http://hnyst.130519.xyz/000000001777/400000000100111001/1.m3u8?IASHttpSessionId=OTT
CCTV-2,http://hnyst.130519.xyz/000000001666/100000000100111001/1.m3u8?IASHttpSessionId=OTT
CCTV-2,http://hnyst.130519.xyz/000000001777/400000000100111002/1.m3u8?IASHttpSessionId=OTT
CCTV-3,http://hnyst.130519.xyz/000000001777/400000000100111057/1.m3u8?IASHttpSessionId=OTT
CCTV-4,http://hnyst.130519.xyz/000000001666/100000000100111003/1.m3u8?IASHttpSessionId=OTT
CCTV-4,http://hnyst.130519.xyz/000000001777/400000000100111003/1.m3u8?IASHttpSessionId=OTT
CCTV-5+,http://hnyst.130519.xyz/000000001666/100000000100111005/1.m3u8?IASHttpSessionId=OTT
CCTV-5+,http://hnyst.130519.xyz/000000001777/400000000100111061/1.m3u8?IASHttpSessionId=OTT
CCTV-5,http://hnyst.130519.xyz/000000001777/400000000100111058/1.m3u8?IASHttpSessionId=OTT
CCTV-6,http://hnyst.130519.xyz/000000001777/400000000100111059/1.m3u8?IASHttpSessionId=OTT
CCTV-7,http://hnyst.130519.xyz/000000001666/100000000100111007/1.m3u8?IASHttpSessionId=OTT
CCTV-7,http://hnyst.130519.xyz/000000001777/400000000100111004/1.m3u8?IASHttpSessionId=OTT
CCTV-8,http://hnyst.130519.xyz/000000001777/400000000100111060/1.m3u8?IASHttpSessionId=OTT
CCTV-9,http://hnyst.130519.xyz/000000001666/100000000100111009/1.m3u8?IASHttpSessionId=OTT
CCTV-9,http://hnyst.130519.xyz/000000001777/400000000100111005/1.m3u8?IASHttpSessionId=OTT
CCTV-10,http://hnyst.130519.xyz/000000001666/100000000100111010/1.m3u8?IASHttpSessionId=OTT
CCTV-10,http://hnyst.130519.xyz/000000001777/400000000100111006/1.m3u8?IASHttpSessionId=OTT
